request_id,base_cpc,ctr,conversion_rate,conversion_value,bid,win,click,cost,conversion,revenue
0,1.4363502971184063,0.08099175550867271,0.037849923994548666,131.24746799071306,1.9800077928731972,1,0,0.0,0,0.0
1,2.87678576602479,0.07325329828396662,0.013303039801942022,97.26556617149669,3.259485721495671,1,1,3.259485721495671,0,0.0
2,2.3299848545285125,0.043469243375543413,0.02059878624664488,193.25471972414877,2.8099334542920404,1,0,0.0,0,0.0
3,1.9966462104925915,0.1253806673192827,0.034847628658601824,51.605905687005254,2.6924300675510953,1,0,0.0,0,0.0
4,0.8900466011060912,0.10055859049663948,0.0266940205036016,121.69271903979873,1.1276358232969605,1,0,0.0,0,0.0
5,0.8899863008405067,0.1744831885415607,0.038235696738570225,143.0399028481423,1.2302787638447021,1,0,0.0,0,0.0
6,0.6452090304204987,0.01610082029159107,0.04825435555502869,166.85725297562252,0.9565504900327594,1,0,0.0,0,0.0
7,2.665440364437338,0.132334906235474,0.010244600947183888,87.32449578132135,2.938504093259107,1,0,0.0,1,87.32449578132135
8,2.002787529358022,0.15496028691719663,0.036930547237912746,140.5151624549215,2.742427923962612,1,0,0.0,0,0.0
9,2.2701814444901136,0.15430244814577834,0.015365487003445154,67.60827956301372,2.6190058792978657,1,0,0.0,0,0.0
10,0.5514612357395061,0.17835405374814978,0.02365145273334062,92.74045754874585,0.6818898292531315,1,1,0.6818898292531315,0,0.0
11,2.9247746304049858,0.1485164111376039,0.006478822660781292,180.16915492864584,3.1142655919364466,1,0,0.0,0,0.0
12,2.5811066020010545,0.1862839117130623,0.011115832203171454,190.4824457728813,2.868018080864472,1,1,2.868018080864472,0,0.0
13,1.0308477766956905,0.07320475396596937,0.01938997800720049,146.5752959161803,1.2307289338847,1,0,0.0,0,0.0
14,0.9545624180177515,0.10560978918279318,0.020389361237959324,81.12685924747515,1.1491915976691902,1,0,0.0,0,0.0
15,0.9585112746335845,0.012675136023749228,0.04548133474079431,165.81098009518618,1.3944549959779393,1,0,0.0,0,0.0
16,1.2606056073988443,0.01132194158762533,0.03838158091699318,14.914745527829835,1.744445968646785,1,0,0.0,0,0.0
17,1.8118910790805947,0.05562405788578878,0.04874823356841685,29.521723002490003,2.695155974316111,1,0,0.0,0,0.0
18,1.5798625466052894,0.029153367456426202,0.03195821796508583,135.66100991131862,2.0847584627981632,1,0,0.0,0,0.0
19,1.2280728504951048,0.05944015990779319,0.01587711794410931,65.33722930131091,1.4230554254077978,1,0,0.0,0,0.0
20,2.0296322368059485,0.04363822596039551,0.01974447634647393,190.76338149609077,2.430372493722509,1,0,0.0,0,0.0
21,0.8487346516301046,0.015418804719343166,0.019392616548138522,92.8515162975379,1.0133265081319103,1,0,0.0,0,0.0
22,1.2303616213380453,0.1827677878171494,0.019692244744846325,91.57931587394363,1.4726474430585925,1,1,1.4726474430585925,1,91.57931587394363
23,1.4159046082342293,0.01156239496388939,0.035283387790031706,138.83510693627693,1.9154837218944416,1,0,0.0,0,0.0
24,1.64017496054259,0.14985560742404624,0.028886356764068734,155.83802683817603,2.113961751199846,1,0,0.0,0,0.0
25,2.462939903482534,0.03890809851470814,0.022344088013898998,100.35616024377593,3.0132613632461105,1,0,0.0,0,0.0
26,0.9991844553958993,0.183323628179924,0.011709039592792247,50.66017132522759,1.116179358883231,1,0,0.0,0,0.0
27,1.785586096034029,0.1796312285220783,0.005996262332396566,156.9286421178681,1.8926545225230278,1,0,0.0,0,0.0
28,1.9810364221551062,0.1342412178101589,0.014847560491446168,70.86674222598924,2.2751720032921665,1,0,0.0,0,0.0
29,0.6161260317999944,0.137724488462115,0.009836213178590658,43.27104616583294,0.676729501736633,1,0,0.0,0,0.0
30,2.018862129753596,0.011014436974240824,0.040345026388350774,130.0116360857525,2.8333725887471046,1,0,0.0,0,0.0
31,0.9263103092182288,0.1971255975615844,0.010062408101624842,27.186196728166575,1.0195194328191899,1,0,0.0,0,0.0
32,0.6626289824631988,0.17678819467940474,0.03759027067880763,194.55700826635044,0.9117130105673439,1,0,0.0,0,0.0
33,2.8722138431333333,0.18007018288871748,0.022354641039923722,130.15548023830604,3.514286937664788,1,0,0.0,0,0.0
